person_a	person_b	document_count
Ежов	М.М. Карпова	1
М.М. Карпова	Сталин	1
Ежов	Ф.П. Медведева	1
Сталин	Ф.П. Медведева	1
Ежов	Р.И. Тодорской	1
Р.И. Тодорской	Сталин	1
Агранов	Д.Т. Шермергорна	1
Ежов	М.В. Кузнецова	1
Ежов	Л.Л. Авербахе	1
М.В. Кузнецова	Сталин	1
Л.Л. Авербахе	Сталин	1
Л.Л. Авербахе	М.В. Кузнецова	1
Пятаков	Я.Н. Дробниса	1
Л.П. Серебряковым	Радек	1
Ежов	С.И. Кавтарадзе	1
С.И. Кавтарадзе	Сталин	1
Ежов	Я.А. Лившицем	1
Сталин	Я.А. Лившицем	1
Л.П. Серебряковым	Я.А. Лившицем	1
Е.Б. Федосеева	Ежов	1
Е.Б. Федосеева	Сталин	1
Л.П. Серебряковым	Пятаков	1
Пятаков	С.А. Ратайчаком	1
Ежов	К.В. Трофимова	1
К.В. Трофимова	Сталин	1
Радек	Сокольников	1
Пятаков	Радек	1
Ежов	З.А. Ашрафяна	1
З.А. Ашрафяна	Сталин	1
Ежов	О.Ф. Янкуса	1
О.Ф. Янкуса	Сталин	1
Бухарин	Радек	1
Астров	Бухарин	1
Д.С. Зенцова	Ежов	1
Д.С. Зенцова	Сталин	1
Е.М. Манюрин-Броварский	Ежов	1
Е.М. Манюрин-Броварский	Сталин	1
Д.М. Лупашко	Ежов	1
Д.М. Лупашко	Сталин	1
М.Д. Багирова	Сталин	1
М.А. Нариманова	М.Д. Багирова	1
М.А. Нариманова	Сталин	1
